oid	accepted_name	accepted_rank	max_ma	min_ma	stratigraphy	lithostratigraphy	biostratigraphy	locality	country_code	references	specimen_no	pbdb_occurrences	gbif_occurrences	lat	lng	utm	paleo_lng	paleo_lat	higher_than	comments
225	Ichthyosauria	clade	150	145.73	upper Tithonian–Berriasian	Vaca Muerta Formation	Aulacosphinctes proximus–Windhauseniceras internispinosum ammonoid biozones	Arroyo Duranzo, Mendoza, Neuquén, Argentina	AR	Fernandez2019JSAES	DU 16-XI-16-2			-35.083333	-69.75					Table 1
226	Ichthyosauria	clade	150	145.73	upper Tithonian–Berriasian	Vaca Muerta Formation	Aulacosphinctes proximus Ammonoid Biozone	Arroyo Duranzo, Mendoza, Neuquén, Argentina	AR	Fernandez2019JSAES	DU 16-XI-16-1			-35.083333	-69.75					Table 1
227	Ichthyosauria	clade	147.72	139.39	upper Tithonian–Berriasian	Vaca Muerta Formation	Pseudolissoceras zitteli Ammonoid Biozone	Arroyo Duranzo, Mendoza, Neuquén, Argentina	AR	Fernandez2019JSAES	DU 16-XI-16-6			-35.083333	-69.75					Table 1
228	Ophthalmosauridae	clade	147.72	139.39	upper Tithonian–Berriasian	Vaca Muerta Formation	Pseudolissoceras zitteli Ammonoid Biozone	Arroyo Duranzo, Mendoza, Neuquén, Argentina	AR	Fernandez2019JSAES	MCNAM-PV 5098			-35.083333	-69.75					Table 1
229	Ophthalmosauridae	clade	147.72	139.39	upper Tithonian–Berriasian	Vaca Muerta Formation		Arroyo Duranzo, Mendoza, Neuquén, Argentina	AR	Fernandez2019JSAES	MCNAM-PV 5102			-35.083333	-69.75					Table 2
230	Ichthyosauria	clade	147.72	139.39	upper Tithonian–Berriasian	Vaca Muerta Formation		Arroyo Duranzo, Mendoza, Neuquén, Argentina	AR	Fernandez2019JSAES	DU 17-XI-16-6, DU 18-XI-16-6, DU 18-XI-16-7, DU 19-XI-16-3			-35.083333	-69.75					Table 2
231	Ichthyosauria	clade	147.72	139.39	upper Tithonian–Berriasian	Vaca Muerta Formation	Corongoceras alternans Ammonoid Biozone	Arroyo Paulino, Mendoza, Neuquén, Argentina	AR	Fernandez2019JSAES	MCNAM-PV 5090, Py ICTIO 6, Py ICTIO 5			-34.966667	-69.816667					Table 3
232	Ichthyosauria	clade	147.72	139.39	upper Tithonian–Berriasian	Vaca Muerta Formation	Corongoceras alternans Ammonoid Biozone	Arroyo Paulino, Mendoza, Neuquén, Argentina	AR	Fernandez2019JSAES	MCNAM-PV 5090, Py ICTIO 6, Py ICTIO 5			-34.966667	-69.816667					Table 3
233	Ichthyosauria	clade	147.72	139.39	upper Tithonian–Berriasian	Vaca Muerta Formation		Arroyo Paulino, Mendoza, Neuquén, Argentina	AR	Fernandez2019JSAES	MCNAM-PV 5091			-34.966667	-69.816667					Table 4
234	Platypterygiinae	clade	147.72	139.39	upper Tithonian–Berriasian	Vaca Muerta Formation	Substeueroceras koeneni Ammonoid Biozone	Arroyo Paulino, Mendoza, Neuquén, Argentina	AR	Fernandez2019JSAES	MCNAM-PV 5089			-34.966667	-69.816667					
235	Ichthyosauria	clade	237.0	201.36	late Triassic			Quebrada Doña Inés Chica, Región de Atacama, Chile	CL	PardoPerez2015POMNHNC	SNGM-7687			-26.116667	-69.333333					
236	Ichthyosauria	clade	201.36	200.91	Hettangian			Quebrada Pan de Azúcar, Parque Nacional Pan de Azúcar, Chile	CL	PardoPerez2015POMNHNC	MPC.1605-1610			-26.05	-70.5					
237	Ichthyosauria	clade	169.7	169.11	middle Bajocian	Lautaro Formation		Quebrada La Iglesia, Manflas, III Región, Chile	CL	PardoPerez2015POMNHNC	T.331, T.332, T.337, T.338, T.342			-28.133333	-69.883333					
238	Ichthyosauria	clade	174.15	100.5	Middle Jurassic–Lower Cretaceous	Tobifera–Zapata formations		Río de Los Hielos, Parque Nacional Torres del Paine, Región de Magallanes	CL	PardoPerez2015POMNHNC				-51.083333	-73.3					
239	Platypterygius hauthali?	species	139.39	130.77	Valanginian–Hauterivian	Zapata Formation		Tyndall Glacier, Parque Nacional Torres del Paine, Región de Magallanes, Chile	CL	PardoPerez2015POMNHNC	TY11			-51.1	-73.3					
240	Ophthalmosauridae	clade	139.39	130.77	Valanginian–Hauterivian	Zapata Formation		Tyndall Glacier, Parque Nacional Torres del Paine, Región de Magallanes, Chile	CL	PardoPerez2015POMNHNC	TY17, TY25, TY03			-51.1	-73.3					
241	Ichthyosaurus cf. communis	species	199.4	191.36	Sinemurian	Coimbra Formation		Praia de Nossa Senhora da Victória, Alcobaça, Portugal	PT	Zbyszewski1952DGMESG,Sousa2021FR	IST-MDT 85			39.706944	-9.051111					
242	Ichthyosauria	clade	199.4	191.36	Sinemurian	Coimbra Formation		Praia de Nossa Senhora da Victória, Alcobaça, Portugal	PT	Zbyszewski1952DGMESG,Sousa2021FR	IST-MDT 104, IST-MDT 103			39.706944	-9.051111					
243	Ichthyosauria	clade	199.4	191.36	Sinemurian			Águas de Madeiros, Portugal	PT	Zbyszewski1952DGMESG,daVeigaFerreira1958CSGP,Sousa2021FR	MG 4748			39.73700	-9.04151					
244	Ichthyosauria	clade	199.4	191.36	Sinemurian			São Pedro de Moel, Portugal	PT	Zbyszewski1952DGMESG,Sousa2021FR	MG 4745			39.75910	-9.03253					
245	Ichthyosauria	clade	191.36	183.7	Pliensbachian			Alvaiázere, Portugal	PT	daVeigaFerreira1958CSGP,Sousa2021FR	MG 25184			39.82394	-8.38324					
246	Ichthyosauria	clade	191.36	183.7	Pliensbachian			Praia de Nossa Senhora da Victória, Alcobaça, Portugal	PT	daVeigaFerreira1958CSGP,Sousa2021FR	MG 4749			39.706944	-9.051111					
247	Ichthyosauria	clade	191.36	183.7	Pliensbachian			Pintanheira, Portugal	PT	Sousa2021FR	MG 4751, MG 4747, MG 4755			39.72773	-9.04559					
248	Ichthyosauria	clade	183.7	174.15	Toarcian			Condeixa, Portugal	PT	daVeigaFerreira1958CSGP,Sousa2021FR	MG 25182, MG 25183			40.11278	-8.49946					
249	Ichthyosauria	clade	174.15	170.3	Aalenian			Alhadas, Portugal	PT	Sousa2021FR	MG 36			40.18254	-8.79068					
250	Ichthyosauria	clade	174.15	170.3	Aalenian			Tomar, Portugal	PT	daVeigaFerreira1958CSGP,Sousa2021FR	MG 4743, MG 4753			39.60423	-8.40138					
251	Ichthyosauria	clade	199.4	170.3	Sinemurian–Aalenian			Cadima, Portugal	PT	Sousa2021FR	MG 4752			40.32552	-8.64132					
252	Ichthyosauria	clade	199.4	170.3	Sinemurian–Aalenian			Murtede, Portugal	PT	Sousa2021FR	MG 35			40.34618	-8.51202					
253	Ichthyosauria	clade	199.4	170.3	Sinemurian–Aalenian			Portugal	PT	Sousa2021FR	MG 25186									
254	Ichthyosauria	clade	199.4	170.3	Sinemurian–Aalenian			Casal Comba, Portugal	PT	daVeigaFerreira1958CSGP,Sousa2021FR	MG 4746			40.36691	-8.46713					
255	Ophthalmosauridae	clade	152.06	145.73	Tithonian	Chatillon Clays	gigas Ammonoid Biozone	Condette, Boulogne-sur-Mer, France	FR	Bardet2006FEWVP	BHN2R-1200			50.65945	1.65472					described as Ophthalmosaurus sp.
256	Jabalisaurus meztli	species	154.73	152.06	late Kimmeridgian	coquina layer, La Caita Formation		Sierra El Jabalí, near Gómez Farías, Saltillo, Caohuila, Mexico	MX	BarrientosLara2021JSAES	CPC 238	946773		24.95246	-100.94193					
257	Sumpalla argentina	species	150	145.73	late middle–early late Tithonian	Los Catutos Member, Vaca Muerta Formation	Aulacosphinctes proximus–Windhauseniceras internispinosum ammonoid biozones	El Ministerio Quarry, Los Catutos, Zapala Department, Neuquén Province, Argentina	AR	Campos2021PP	MOZ-PV 5788			-38.80829	-70.18219					
258	Stenopterygius quadriscissus	species	182.9	181.21	early Toarcian	Posidonienschiefer Formation, bed Lias εII,6	Harpoceras exaratum–Harpoceras elegans ammonoid subbiozones, Harpoceras serpentinum Ammonoid Biozone	Kirschmann Quarry, Baden-Württemberg, Germany	DE	Dick2015P	SMNS 81841			48.59861	9.50054					
259	Ichthyosaurus breviceps	species	201.36	183.7	Hettangian–Pliensbachian	Lias Group		Lyme Regis, Dorset, UK	GB	Taylor2014GSE	NHMUK PV R8437			50.72954	2.92626					
260	Tholodus cf. schmidi	species	245.09	243.43	middle Anisian	Karazin Formation	Acrochordiceras kiparisovae Ammonoid Biozone	Paris Bay–Ussuri Bay, Russky isalnd, South Primorye, Russia	RU	Zakharov2015RJPG,Arkhangelsky2016PJ	SGTU MEZ 4/3	1412635		43.002306	131.919944					
261	Ichthyosauria	clade	241.5	237.0	Ladinian	Daonella shales, Spitnikovskaya Formation		Amur Bay, Cape Ugol'nyi, South Primorye, Russia	RU	Zakharov2015RJPG				43.18592	131.68401					
262	Ichthyosauria	clade	241.5	237.0	Ladinian	Daonella shales, Spitnikovskaya Formation	Ptychites ammonoids	Amur Bay, Cape Ugol'nyi, South Primorye, Russia	RU	Zakharov2015RJPG				43.243106	131.762839					
263	Ichthyosauria	clade	246.8	241.5	Anisian	Karazon Formation		Akhlestyshev Cape, Russky Island, South Primorye, Russia	RU	Zakharov2015RJPG				42.968853	131.906419					
264	Ichthyosauria	clade	247.39	246.8	Olenekian		Neocolumbites insignis Ammonoid Biozone	Zhitkov Cape, Russky Island, South Primorye, Russia	RU	Zakharov2015RJPG				43.022264	131.934786					
265	Ichthyosauria	clade	248.2	248.2	Olenekian		Anasibirites nevolini Ammonoid Biozone	Artem, South Primorye, Russia	RU	Zakharov2015RJPG				43.319069	132.168372					
266	Ichthyosauria	clade	201.36	200.16	Hettangian lower substage			Olenek River Basin, Kyra-Khos-Teryuttekh River, Siberia, Russia	RU	Rogov2019SGC				71.7793	120.8922					
267	Ichthyosauria	clade	188.29	183.7	Pliensbachian upper substage	Domerian clay member		Vilyui River basin, Tenkensakaya Nyuchuku River, Outcrop 12, Siberia, Russia	RU	Rogov2019SGC				61.9545	116.6268					
268	Ichthyosauria	clade	183.7	174.15	Toarcian			Basin of the Vilyui River, Markha River, Siberia, Russia	RU	Rogov2019SGC				63.6	116.5					
269	Ichthyosauria	clade	183.7	178.24	Toarcian upper substage			Basin of the Vilyui River, Ygyatta River, Siberia, Russia	RU	Rogov2019SGC				63.38410	115.73305					
270	Ichthyosauria	clade	183.7	178.24	Toarcian upper substage			Vilyui River, Siberia, Russia	RU	Rogov2019SGC				61.9	117.37					
271	Ichthyosauria	clade	178.24	174.15	Toarcian lower substage			Anabar River, Siberia, Russia	RU	Rogov2019SGC				72.05531	113.93715					
272	Ichthyosauria	clade	183.7	170.3	Toarcian–Aalenian			To the north of the Baybykan River, on the Dorukchan River, Siberia, Russia	RU	Rogov2019SGC				64.21892	130.34969					
273	Ichthyosauria	clade	174.15	172.13	Aalenian lower substage			Left bank of the Molodo River, 5 km downstream of the mouth of the Syugyude River, Siberia, Russia	RU	Rogov2019SGC				69.22141	123.03859					
274	Ichthyosauria	clade	170.3	168.28	Bajocian			Vilyui River basin, mouth of the Tyung River, Siberia, Russia	RU	Rogov2019SGC				63.77012	121.54607					
275	Ophthalmosauridae	clade	157.25	152.06	Kimmeridgian			Levaya Boyarka River (Outcrop 23), Siberi, Russia	RU	Rogov2019SGC				70.3419	97.1829					
276	Ichthyosauria	clade	149.87	146.61	Volgian middle substage			Byrranga Mountains, Dyabaka-Tari River, Siberia, Russia	RU	Rogov2019SGC				74.10932	97.56308					
277	Ichthyosauria	clade	149.87	144.1	Volgian middle–upper substages			Levaya Boyarka River (Outcrop 23), Siberi, Russia	RU	Rogov2019SGC				70.570	97.306					
278	Ichthyosauria	clade	149.87	144.1	Volgian middle–upper substages			Urdyuk-Khaya Cape, Siberia, Russia	RU	Rogov2019SGC				73.87060	113.16783					
279	Ichthyosauria	clade	183.7	174.15	Toarcian			Left bank of the Kelimyar River, 3.5 km south of the mouth of the Hotugu-MuyokandaYurege River, Siberia, Russia	RU	Rogov2019SGC				71.35149	125.75580					
280	Ophthalmosauridae	clade	146.61	144.1	Volgian upper substages			Kheta River, Outcrops 18–19, Siberia, Russia	RU	Rogov2019SGC				70.54938	95.3228					
281	Ichthyosauria	clade	136.28	135.33	Valanginian			Anabar River, village of Yuryung-Khaya, Siberia, Russia	RU	Rogov2019SGC				72.8108	113.2321					originally identified as Yasykovia sp.
282	Catutosaurus gaspariniae	species	150	145.73	late middle–early late Tithonian	Los Catutos Member, Vaca Muerta Formation	Aulacosphinctes proximus–Windhauseniceras internispinosum ammonoid biozones	El Ministerio Quarry, Los Catutos, Zapala Department, Neuquén Province, Argentina	AR	Fernandez2021JVP	MOZ-PV-1854	1565746,1108508		-38.80829	-70.18219					
283	Catutosaurus gaspariniae	species	147.72	139.39	late middle–early late Tithonian	Vaca Muerta Formation		Pampa Tril-Yesera del Tromen, Neuquén Province, Argentina	AR	Fernandez2021JVP	MOZ-PV-103			-37.29099	-69.78440					
284	Catutosaurus gaspariniae	species	147.72	139.39	late middle–early late Tithonian	Vaca Muerta Formation		Cerro Lotena, Neuquén Province, Argentina	AR	Fernandez2021JVP	MOZ-PV-7260			-39.23361	-69.79856					
285	Parrassaurus yacahuitztli	species	147.72	145.73	late Tithonian	La Caja Formation		Rancho el sombrero, Sierra de Parras, Saltillo Municipality, Coahuila, Mexico	MX	BarrientosLara2021A	CPC 307			25.138611	-101.482778					
286	Besanosaurus leptorhynchus	species	242.03	241.5	Illyrian	Besano Formation	Nevadites secedensis Ammonite Biozone	Sasso Caldo, Besano, Lombardy, Italy	IT	Bindellini2021P	BES SC 1016			45.150002	9.233333					layer 70/96 Bindellini et at 2021 Tbl 1
287	Besanosaurus leptorhynchus	species	242.03	241.5	Illyrian	Besano Formation	Nevadites secedensis Ammonite Biozone	Valle Stelle, Canton Ticino, Switzerland	CH	Bindellini2021P	PIMUZ T 4376			45.91235	8.93917					layer 82/71 Bindellini et at 2021 Tbl 1
288	Besanosaurus leptorhynchus	species	242.03	241.5	Illyrian	Besano Formation	Nevadites secedensis Ammonite Biozone	Cava Tre Fontaine, Canton Ticino, Switzerland	CH	Bindellini2021P	PIMUZ T 4847, PIMUZ T 1895			45.91090	8.93695					layer 60/116 Bindellini et at 2021 Tbl 1
289	Besanosaurus leptorhynchus	species	242.03	241.5	Illyrian	Besano Formation	Nevadites secedensis Ammonite Biozone	unknown Swiss locality	CH	Bindellini2021P	GPIT 1793/1	1310774		45.91	8.95					unknown locality, prob. Monte San Giorgio, originally *Mikadocephalus gracilirostris*
290	Mixosauridae	clade	241.5	237.0	Ladinian	Blankmuten Member, Botneheia Formation		Edgeøya, Svalbard	SJ	Hurum2014NPDB	PMO 219.250			77.81328	21.55198					
291	Stenopterygius sp.	genus	182.9	180.36	Toarcian		Harpoceras serpentinum Ammonoid Biozone	LafargeHolcim Val d'Azergues Quarry, Beaujolais, France	FR	Martin2021GSLSP	MHNL 20103062			45.88102	4.66749					
292	Neoichthyosauria	clade	182.9	180.36	Toarcian		Harpoceras serpentinum Ammonoid Biozone	LafargeHolcim Val d'Azergues Quarry, Beaujolais, France	FR	Martin2021GSLSP	MHNL 20103364			45.88102	4.66749					
293	Baracromia	clade	176.23	174.97	upper Toarcian	Grandcourt Formation	Grammoceras thouarsense Ammonoid Biozone	Dudelange, Luxembourg	LU	Fischer2021P	NHMNL TM212			49.45	6.05					
294	Ichthyosauria	clade	174.97	174.15	upper Toarcian	Minette Ironstone Formation	Phlyseogrammoceras dispansum–Pleydellia aalensis ammonoid biozones	Halanzy, Belgium	BE	Fischer2021P	IRSNB Vert-00000-00801, IRSNB Vert-06659-0001, IRSNB R 438, IRSNB R 440			49.55477	5.75160					
295	Ichthyosauria	clade	174.97	174.15	upper Toarcian	Mont-Saint-Martin Formation	Phlyseogrammoceras dispansum–Pleydellia aalensis ammonoid biozones	Mont-Saint-Martin, Meurth-et-Moselle, France	FR	Fischer2021P	IRSNB Vert-06455-0001			49.54796	5.79104					
296	Parvipelvia	clade	174.97	174.15	upper Toarcian	Mont-Saint-Martin Formation	Phlyseogrammoceras dispansum–Pleydellia aalensis ammonoid biozones	Halanzy, Belgium	BE	Fischer2021P	ULg-PA 35.961, IRSNB Vert-00000-00800, IRSNB 00000-00804, IRSNB Vert-06462-0005, IRSNB R 436, IRSNB R 439, IRSNB R 437			49.55477	5.75160					
297	Parvipelvia	clade	174.43	174.15	upper Toarcian	Minette Ironstone Formation	Pleydellia aalensis Ammonoid biozone	Rodange, Luxembourg	LU	Fischer2021P	MNHNL DOU944, MNHNL DOU998, MNHNL DOU369, MNHNL DOU353, MNHNL DOU378			49.54383	5.84874					
298	Ichthyosauria	clade	170.83	170.3	upper Aalenian	marnes micacées	Graphoceras concavum Ammonoid Biozone	Rumelange, Luxembourg	LU	Fischer2021P	MNHNL HU242			49.45128	5.99339					
299	Ichthyosauria	clade	169.7	169.45	lower Bajocian	marnes sablueses d'Audun-le-Tiche	Stephanoceras humphriesianum Ammonoid Biozone	Rumelange, Luxembourg	LU	Fischer2021P	MNHNL BM360			49.45128	5.99339					
300	Parvipelvia	clade	169.7	169.45	lower Bajocian	marnes sablueses d'Audun-le-Tiche	Stephanoceras humphriesianum Ammonoid Biozone	Rumelange, Luxembourg	LU	Fischer2021P	MNHNL BM758, MNHNL BM725, MNHNL BM461, MNHNL BM392			49.45128	5.99339					
301	Ophthalmosauridae	clade	169.7	169.45	lower Bajocian	marnes sablueses d'Audun-le-Tiche	Stephanoceras humphriesianum Ammonoid Biozone	Rumelange, Luxembourg	LU	Fischer2021P	MNHNL BM780–BM781, MNHNL BM779			49.45128	5.99339					
302	Ophthalmosauridae	clade	147.72	145.73	Tithonian	Vaca Muerta Formation			AR	Talevi2021CR	MLP S/N									
303	Ophthalmosauridae	clade	152.06	145.73	Tithonian	Los Molles Formation	Puchenquia malaguensis Ammonoid Biozone	Quebrada Remoredo, Sierra de Reyes, Mendoza Province, Argentia	AR	Fernandez2003JVP,Talevi2021CR	MLP 92-III-2-1			-37	-69.75					
304	Caypullisaurus bonapartei	species	147.72	145.73	Tithonian	Vaca Muerta Formation		Cerro Lotena, Neuquén Province, Argentina	AR	Fernandez2005JVPa,Talevi2021CR	MLP 83-XI-15-1			-39.19444	-69.6675					
305	Platypterygiinae	clade	137.64	134.69	upper Valanginian	Agri Formation, Pilmatué Member	Pseudofavrella angulatiformis Ammonoid Biozone, Chacantuceras onrnatum Ammonoid Subbiozone	Pichaihue, Neuquén Province, Argentina	AR	Lazo2018CR,Talevi2021CR	MOZ-PV 6997			-37.783333	-70.216667					
306	Ichthyosauria	clade	137.64	134.69	upper Valanginian	Agri Formation, Pilmatué Member	Pseudofavrella angulatiformis Ammonoid Biozone, Decliveites crassicostatus Ammonoid Subbiozone	Agua de la Mula, Neuquén Province, Argentina	AR	Lazo2018CR	MOZ-PV 6986			-38.05	-70.05					
307	Ichthyosauria	clade	137.64	134.69	upper Valanginian	Agri Formation, Pilmatué Member	Pseudofavrella angulatiformis Ammonoid Biozone, Chacantuceras onrnatum Ammonoid Subbiozone	Casa Nuestra, Neuquén Province, Argentina	AR	Lazo2018CR	MOZ-PV 6998			-37.883333	-70.05					
308	Ichthyosauria	clade	137.64	134.69	upper Valanginian	Agri Formation, Pilmatué Member	Pseudofavrella angulatiformis Ammonoid Biozone, Decliveites crassicostatus Ammonoid Subbiozone	Casa Nuestra, Neuquén Province, Argentina	AR	Lazo2018CR	MOZ-PV 7000			-37.883333	-70.05					
309	Ichthyosauria	clade	139.39	137.64	lower Valanginian	Agri Formation, Pilmatué Member	Olcostephanus athersthoni Ammonoid Biozone, Viluceras permolestes Ammonoid Subbiozone	Casa Nuestra, Neuquén Province, Argentina	AR	Lazo2018CR	MOZ-PV 6999			-37.466667	-70.3					
310	Ichthyosauria	clade	247.14	247.06	Spathian	Osawa Formation		Sendai, Miyagi Prefecture, Japan	JP	Takahashi2014j	UMUT MV 31051			38.30672	140.72283					
311	Platypterygius australis	species	107.59	100.5	late Albian	Allaru Mudstone		Boree Park, Queensland Australia	AU	Vakil2021A	QM F10686	1006721		-20.86667	143.583328					
312	Platypterygius australis?	species	107.59	100.5	late Albian	Toolebuc Formation		Marathon Station, Richmond, Queensland Australia	AU	Vakil2021A	KMM R519 SA, KMM R519 I, KMM KKF0603, KMM RGC1, KMM RGC2, KMM RKI, KMM RIDV, QM18906	1006717		-20.86667	143.583328					
313	Thalassodraco etchesi	species	150.18	149.59	early Tithonian	Kimmeridge Clay Formation	Pectinatites pectinatus Ammonoid Biozone	Rope Lake Bay, Kimmeridge, Dorset, UK	GB	Jacobs2020PO	MJML K1174			50.597190	-2.097440					
314	Muiscasaurus catheti	species	122.98	113.14	upper Aptian	Paja Formation, Arcillolitas Abigarrdas Member	Dufrenoyia sanctorum-Stoyanowiceras Association Biozone	Loma La Catalina, 8 km SW of Villa de Leiva, Boyacá, Colombia	CO	ParamoFonseca2020CR	PCG-CBP-16			5.623857	-73.585198					
315	Temnodontosaurus crassimanus	species	180.36	178.24	Toarcian	Whitby Mudstone Formation, Alum Shale Member	Hildoceras bifrons Ammonite Biozone	Kettleness Alum Works, Whitby, Yorkshire, UK	GB	Swaby2020HB	YORYM:497	1433356,1564995		54.53255	-0.71509					
316	Temnodontosaurus	genus	180.36	178.24	Toarcian	Whitby Mudstone Formation	Hildoceras bifrons Ammonite Biozone	Hawsker Bottoms, Whitby, Yorkshire, UK	GB	Swaby2020HB	WHITM:SIM3546.S			54.46083	-0.55001					
317	Temnodontosaurus?	genus	180.36	178.24	Toarcian	Whitby Mudstone Formation, Alum Shale Member	Hildoceras bifrons Ammonite Biozone	Loftus Alum Quarries, Whitby, Yorkshire, UK	GB	Swaby2020HB	WHITM:SIM5	821648		54.56952	-0.90474					
318	Temnodontosaurus zetlandicus	species	180.36	178.24	Toarcian	Whitby Mudstone Formation	Hildoceras bifrons Ammonite Biozone	Loftus Alum Quarries, Whitby, Yorkshire, UK	GB	Laboury2022ZJLS	CAMSM J35176			54.56952	-0.90474					
319	Temnodontosaurus cf. zetlandicus	species	182.9	182.05	lower Toarcian	Couches à Harpoceras falciferum, Schistes Carton	Harpoceras serpentinum Biozone, Cleviceras elegantulum Subbiozone	Shouweiler, Luxembourg	LU	Laboury2022ZJLS	MNHNL TU885			49.56977	5.95003					
320	Ichthyosauria	clade	209.56	201.36	Upper Triassic	Westbury Formation		Bantycock and Staple Pits, Newark Nottinghamshire, UK	GB	Martill1986MGb	LEIUG 88987			53.042930	-0.79180443					
321	Guizhouichthyosaurus	genus	241.5	237.0	Ladinian	Zhuganpo Member, Falang Formation		Nimaigu, Wusha Town, Xingyi City, Guizhou Province, China	CN	Jiang2020iS	XNGM-WS-50-R4			25.15665	104.79606					
322	Eretmorhipis carrolldongi	species	247.39	246.8	Spathian	Third Member, Jialingjiang Formation		Hekou, Yuan'an County, Hubei Province, China	CN	Cheng2019SR	YAGM V 1401			31.26747	111.64682					
323	Eretmorhipis carrolldongi	species	247.39	246.8	Spathian	Third Member, Jialingjiang Formation		Yuan'an County, Hubei Province, China	CN	Cheng2019SR	YAGM V 1601			31.30125	111.61257					
324	Mixosaurus cornalianus	species	242.03	241.5	uppermost Anisian	Middle Besano Formation	Nevadites secedensis Ammonite Biozone	Sasso Caldo, Besano, Varese Province, Lombardy, Italy	IT	Renesto2020APP	BES SC 1000, BES SC 1001			45.150002	9.233333					
325	Maiaspondylus lindoei	species	113.14	107.59	lower–middle Albian	Loon River Formation		Hay River, Northwest Terretories, Canada	CA	Maxwell2006P,Zverkov2020CRa	UALVP 45635, UALVP 45636	915715		60.016667	-116.95					
326	Maiaspondylus lindoei	species	107.59	100.5	upper Albian	Cambridge Greensand Member, West Melbury Marly Chalk Formation		Cambridgeshire, UK	GB	Zverkov2020CRa	CAMSM B58048, CAMSM B58043, CAMSM TN1734, CAMSM TN1753, CAMSM TN1757, NHMUK R2342			52.343	0.043					locality based in centre Cambridgeshire
327	Maiaspondylus cantabridgiensis	species	107.59	100.5	upper Albian	Cambridge Greensand Member, West Melbury Marly Chalk Formation		Cambridgeshire, UK	GB	Fischer2014PO,Zverkov2020CRa	NHMUK 43989, NHMUK 32406, NHMUK R16, NHMUK 47268, CAMSM B58042, CAMSM B58050, CAMSM B58053, CAMSM B58055, CAMSM TN1727, CAMSM TN1755, IRSNB GS3, LEICT G65.1991, NHMUK R2343, NHMUK R4513, NHMUK 35348, IRSNB GS60			52.343	0.043					locality based in centre Cambridgeshire
328	Maiaspondylus cantabridgiensis	species	111.27	110.87	middle–upper Albian	Gault Formation	Leymeriella tardefurcata Biozone	Cambridgeshire, UK	GB	Fischer2014PO,Zverkov2020CRa	NHMUK R16, NHMUK R17			52.343	0.043					locality based in centre Cambridgeshire; included in M. catabridgiensis by association
329	Eretmorhipis carrolldongi	species	247.39	246.8	Spathian	Third Member, Jialingjiang Formation		Hekou, Yuan'an County, Hubei Province, China	CN	Cheng2019SR	YAGM V 1401			31.26747	111.64682					
330	Hauffiopteryx altera	species	182.9	182.05	lower Toarcian	Posidonienschiefer Formation, bed Lias εII,4/5	Harpoceras faciferum Biozone, Haropoceras exaratum Subbiozone	Dotternhausen-Dormettingen, Baden-Württemberg, Germany	DE	Maxwell2020PE	FWD-129			48.22574	8.77464					
331	Hauffiopteryx typicus	species	188.29	185.09	upper Pliensbachian	Kondensiertes Pliensbachium	Amaltheus margaritatus Biozone	Hauenstein, Solothurn, Switzerland	CH	Maisch2006G,Maxwell2020OE	NMO 26575	821443		47.38290	7.87405					originally identified as Leptonectes cf. tenuirostris
332	Hauffiopteryx typicus	species	182.9	182.05	lower Toarcian	Posidonienschiefer Formation, bed Lias εII,4/5	Harpoceras faciferum Biozone, Haropoceras exaratum Subbiozone	Dotternhausen-Dormettingen, Baden-Württemberg, Germany	DE	Maxwell2016P,Maxwell2020OE	GPIT/RE/12905, MHH 9, SMNS 80226	1125587		48.22574	8.77464					
333	Hauffiopteryx typicus	species	182.9	180.36	lower Toarcian	Junction Bed	Harpoceras faciferum Biozone	Strawberry Bank, Ilminster, Somerset, UK	GB	Caine2011P,Marek2015P,Maxwell2020PE	BRLSI M1399, BRLSI M1400, BRLSI M1401, BRLSI M1403-1404-1406			50.93	-2.91					
334	Ichthyosauria	clade	160.63	145.73	middle Oxfordian–upper Tithonian	Rosso Ammonitico Veronese Formation		Asiago, Altopiano de Asiago, Vicenza Province, Italy	IT	Serafini2020RIPS	V7101, V7102			45.89768	11.47988					
335	Nannopterygius enthekiodon	species	154.73	147.72	upper Kimmeridgian–lower Tithonian	Kimmeridge Clay Formation		Kimmeridge Bay, Kimmeridge, Dorset, UK	GB	Moon2018MPS,Zverkov2020ZJLS	NHMUK 46497, NHMUK 46497a	1134415		50.61158	-2.13163					
336	Nannopterygius enthekiodon	species	150.66	150.18	upper Kimmeridgian–lower Tithonian	Kimmeridge Clay Formation	Pectinatites hudlestoni Biozone	Clavells Hard, Kimmeridge Bay, Kimmeridge, Dorset, UK	GB	Zverkov2020ZJLS	MJML K 1776			50.60772	-2.13082					
337	Nannopterygius enthekiodon	species	151.5	151.04	upper Kimmeridgian–lower Tithonian	Kimmeridge Clay Formation	Virgatospinctoides scitulus Biozone	Clavells Hard, Kimmeridge Bay, Kimmeridge, Dorset, UK	GB	Zverkov2020ZJLS	MJML K 2010			50.60772	-2.13082					
338	Nannopterygius enthekiodon	species	150.66	150.18	upper Kimmeridgian–lower Tithonian	Kimmeridge Clay Formation	Pectinatites hudlestoni Biozone	Rope Lake Head, Kimmeridge Bay, Kimmeridge, Dorset, UK	GB	Moon2018MPS,Zverkov2020ZJLS,Naish2020	SOTUG 15181, SOTUG 15198, SOTUG 15348, SOTUG 16566, SOTUG 16663			50.59718	-2.10529					
